experiment_id,experiment_name,model,dist_model,num_taxa,distance,length,alpha,ics_prop,replicate,pipeline,rf_distance,nrf_distance,best_model_bic,gamma_alpha
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,100,MSA+ML,4,0.068966,LG+G4,0.8162
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,10,MSA+ML,2,0.034483,LG+G4,1.0645
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,11,MSA+ML,4,0.068966,LG+G4,1.0
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,12,MSA+ML,2,0.034483,LG+G4,0.9218
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,13,MSA+ML,2,0.034483,LG+G4,1.2176
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,14,MSA+ML,4,0.068966,LG+G4,0.9644
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,15,MSA+ML,2,0.034483,LG+I,
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,16,MSA+ML,2,0.034483,LG+I,
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,17,MSA+ML,4,0.068966,LG+G4,0.9156
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,18,MSA+ML,2,0.034483,LG+G4,0.8285
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,19,MSA+ML,2,0.034483,LG+G4,1.149
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,1,MSA+ML,2,0.034483,LG+G4,1.2497
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,20,MSA+ML,6,0.103448,LG+G4,1.207
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,21,MSA+ML,2,0.034483,LG+G4,0.8631
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,22,MSA+ML,0,0.0,LG+G4,1.4401
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,23,MSA+ML,0,0.0,Q.PFAM+G4,1.0801
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,24,MSA+ML,12,0.206897,Q.PFAM+I,
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,25,MSA+ML,0,0.0,LG+G4,0.9602
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,26,MSA+ML,10,0.172414,LG+I,
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,27,MSA+ML,8,0.137931,LG+G4,0.9661
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,28,MSA+ML,0,0.0,LG+G4,0.9297
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,29,MSA+ML,0,0.0,LG+G4,1.2537
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,2,MSA+ML,6,0.103448,LG+I,
