ARTS2	512565	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85008 (order), 28056 (family), 1865 (genus), 1866 (species), 512565 (leaf)
HOYSD	446462	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85010 (order), 2070 (family), 40566 (genus), 40567 (species), 446462 (leaf)
STRSH	713604	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85010 (order), 2070 (family), 1813 (genus), 33910 (species), 713604 (leaf)
FRASN	749927	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85010 (order), 2070 (family), 1813 (genus), 33910 (species), 749927 (leaf)
CORDV	290399	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85006 (order), 1268 (family), 1663 (genus), 235627 (no rank), 290399 (leaf)
CATAD	471853	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85006 (order), 125316 (family), 84756 (genus), 84757 (species), 471853 (leaf)
BEUC1	1703	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85006 (order), 85019 (family), 1696 (genus), 1703 (leaf)
MICAI	479433	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 414714 (order), 414877 (family), 414878 (genus), 304895 (species), 479433 (leaf)
MICS3	590998	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85006 (order), 85016 (family), 1707 (genus), 1708 (species), 590998 (leaf)
INTC7	593907	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85006 (order), 85016 (family), 1707 (genus), 11 (species), 593907 (leaf)
STRGA	443906	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85006 (order), 85023 (family), 1573 (genus), 28447 (species), 33013 (subspecies), 443906 (leaf)
MYCLB	548476	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1653 (family), 1716 (genus), 169292 (species), 548476 (leaf)
MYCA1	698962	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1653 (family), 1716 (genus), 1717 (species), 698962 (leaf)
STRLN	698968	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1653 (family), 1716 (genus), 1717 (species), 698968 (leaf)
SACEN	698969	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1653 (family), 1716 (genus), 1717 (species), 698969 (leaf)
