NEIMB	122586	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28216 (class), 206351 (order), 481 (family), 482 (genus), 487 (species), 491 (serogroup), 122586 (leaf)
PHOLL	243265	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 91347 (order), 1903414 (family), 29487 (genus), 2218628 (species), 141679 (subspecies), 243265 (leaf)
ACICS	990288	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1807140 (class), 225057 (order), 225058 (family), 119977 (genus), 33059 (species), 990288 (leaf)
SHIFL	623	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 91347 (order), 543 (family), 620 (genus), 623 (leaf)
HERSS	757424	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28216 (class), 80840 (order), 75682 (family), 963 (genus), 964 (species), 757424 (leaf)
KLEOK	1006551	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 91347 (order), 543 (family), 2890311 (no rank), 570 (genus), 1134687 (species), 1006551 (leaf)
VIBVY	196600	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 135623 (order), 641 (family), 662 (genus), 672 (species), 196600 (leaf)
SALHC	1304275	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 742030 (order), 742031 (family), 180541 (genus), 563188 (species), 1304275 (leaf)
CELJU	498211	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 1706369 (order), 1706371 (family), 10 (genus), 155077 (species), 498211 (leaf)
ECOBD	469008	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 91347 (order), 543 (family), 561 (genus), 562 (species), 469008 (leaf)
GOTA9	1128398	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 1737404 (class), 1737405 (order), 2042895 (family), 1505664 (genus), 1556 (species), 1128398 (leaf)
CLOAE	863638	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 186801 (class), 186802 (order), 31979 (family), 1485 (genus), 1488 (species), 863638 (leaf)
DESCC	868595	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 186801 (class), 186802 (order), 2937910 (family), 1562 (genus), 1565 (species), 868595 (leaf)
STRDG	486410	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 91061 (class), 186826 (order), 1300 (family), 1301 (genus), 119603 (no rank), 1334 (species), 119602 (subspecies), 486410 (leaf)
U04FI	1879010	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 84086 (no rank), 1879010 (leaf)
PAEPS	886882	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 91061 (class), 1385 (order), 186822 (family), 44249 (genus), 1406 (species), 886882 (leaf)
ACEWD	931626	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 186801 (class), 186802 (order), 186806 (family), 33951 (genus), 33952 (species), 931626 (leaf)
