DANRE	7955	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 7898 (superclass), 186623 (class), 41665 (subclass), 32443 (infraclass), 1489341 (clade), 186625 (no rank), 186634 (cohort), 32519 (subcohort), 186626 (clade), 186627 (superorder), 7952 (order), 30727 (suborder), 2743709 (family), 2743711 (subfamily), 7954 (genus), 7955 (leaf)
CHICK	9031	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 8457 (clade), 32561 (clade), 1329799 (clade), 8492 (clade), 436486 (clade), 436489 (clade), 436491 (clade), 436492 (clade), 8782 (class), 8825 (infraclass), 1549675 (superorder), 8976 (order), 9005 (family), 9072 (subfamily), 9030 (genus), 9031 (leaf)
LEIMA	5664	131567 (no rank), 2759 (domain), 2611352 (clade), 33682 (phylum), 5653 (class), 2704647 (subclass), 2704949 (order), 5654 (family), 1286322 (subfamily), 5658 (genus), 38568 (subgenus), 38581 (no rank), 5664 (leaf)
CANAL	237561	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147537 (subphylum), 3239874 (class), 2916678 (order), 766764 (family), 1535325 (clade), 5475 (genus), 5476 (species), 237561 (leaf)
USTMA	5270	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 5204 (phylum), 452284 (subphylum), 5257 (class), 5267 (order), 5268 (family), 2689624 (genus), 5270 (leaf)
MOUSE	10090	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9347 (clade), 1437010 (clade), 314146 (superorder), 314147 (clade), 9989 (order), 1963758 (suborder), 337687 (clade), 10066 (family), 39107 (subfamily), 10088 (genus), 862507 (subgenus), 10090 (leaf)
PARTE	5888	131567 (no rank), 2759 (domain), 2698737 (clade), 33630 (clade), 5878 (phylum), 431838 (subphylum), 6020 (class), 33825 (order), 340080 (family), 5884 (genus), 5888 (leaf)
DROME	7227	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33317 (clade), 1206794 (clade), 88770 (clade), 6656 (phylum), 197563 (clade), 197562 (clade), 6960 (subphylum), 50557 (class), 85512 (clade), 7496 (subclass), 33340 (infraclass), 33392 (cohort), 7147 (order), 7203 (suborder), 43733 (infraorder), 480118 (clade), 480117 (clade), 43738 (no rank), 43741 (no rank), 43746 (superfamily), 7214 (family), 43845 (subfamily), 46877 (tribe), 7215 (genus), 32341 (subgenus), 32346 (no rank), 32351 (no rank), 7227 (leaf)
ORYLA	8090	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 7898 (superclass), 186623 (class), 41665 (subclass), 32443 (infraclass), 1489341 (clade), 186625 (no rank), 1489388 (cohort), 123365 (clade), 123366 (clade), 123367 (clade), 123368 (clade), 123369 (clade), 1489872 (clade), 1489908 (clade), 1489913 (superorder), 76071 (order), 28781 (suborder), 47757 (family), 8088 (subfamily), 8089 (genus), 8090 (leaf)
PHANO	321614	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715962 (clade), 147541 (class), 451868 (subclass), 92860 (order), 715340 (suborder), 5020 (family), 1351751 (genus), 13684 (species), 321614 (leaf)
YARLI	284591	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147537 (subphylum), 3239873 (class), 3243772 (order), 3316682 (no rank), 4951 (genus), 4952 (species), 284591 (leaf)
SCLS1	665079	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147548 (class), 5178 (order), 28983 (family), 5179 (genus), 5180 (species), 665079 (leaf)
MONBE	81824	131567 (no rank), 2759 (domain), 33154 (clade), 28009 (class), 1924738 (order), 81529 (family), 81525 (genus), 81824 (leaf)
