id_i,id_j,len_i,len_j,score_raw,sss,identity,aligned_len,dataset,hog_id
MOUSE20754,RATNO43073,69,69,271.0,0.7787356321839081,0.8260869565217391,69,amn,E0732656
MOUSE20754,MACMU17784,69,76,195.5,0.5334242837653479,0.7101449275362319,69,amn,E0732656
MOUSE20754,GORGO13813,69,76,199.0,0.5437158469945356,0.6956521739130435,69,amn,E0732656
MOUSE20754,HUMAN37494,69,69,239.0,0.6848137535816619,0.7681159420289855,69,amn,E0732656
MOUSE20754,PANTR15919,69,76,188.5,0.5178571428571429,0.7101449275362319,69,amn,E0732656
MOUSE20754,BOVIN19608,69,67,151.5,0.44363103953147875,0.6666666666666666,63,amn,E0732656
MOUSE20754,CANLF17626,69,69,228.0,0.658008658008658,0.7391304347826086,69,amn,E0732656
MOUSE20754,MONDO16153,69,92,113.5,0.2833957553058677,0.5507246376811594,69,amn,E0732656
MOUSE20754,CHICK13436,69,68,193.0,0.5618631732168851,0.6470588235294118,68,amn,E0732656
RATNO43073,MACMU17784,69,76,209.5,0.5779310344827586,0.7391304347826086,69,amn,E0732656
RATNO43073,GORGO13813,69,76,213.0,0.5883977900552486,0.7246376811594203,69,amn,E0732656
RATNO43073,HUMAN37494,69,69,253.0,0.7333333333333333,0.7971014492753623,69,amn,E0732656
RATNO43073,PANTR15919,69,76,202.5,0.5625,0.7391304347826086,69,amn,E0732656
RATNO43073,BOVIN19608,69,67,164.5,0.4874074074074074,0.6825396825396826,63,amn,E0732656
RATNO43073,CANLF17626,69,69,242.0,0.7065693430656934,0.7536231884057971,69,amn,E0732656
RATNO43073,MONDO16153,69,92,124.5,0.31399747793190413,0.5797101449275363,69,amn,E0732656
RATNO43073,CHICK13436,69,68,190.5,0.561119293078056,0.6875,64,amn,E0732656
MACMU17784,GORGO13813,76,76,357.0,0.938239159001314,0.9342105263157895,76,amn,E0732656
MACMU17784,HUMAN37494,76,69,293.5,0.8074277854195323,0.927536231884058,69,amn,E0732656
MACMU17784,PANTR15919,76,76,345.0,0.9114927344782034,0.9210526315789473,76,amn,E0732656
MACMU17784,BOVIN19608,76,67,161.5,0.45365168539325845,0.65625,64,amn,E0732656
MACMU17784,CANLF17626,76,69,262.5,0.7271468144044322,0.8405797101449275,69,amn,E0732656
MACMU17784,MONDO16153,76,92,142.0,0.3421686746987952,0.5866666666666667,75,amn,E0732656
MACMU17784,CHICK13436,76,68,190.5,0.5321229050279329,0.6764705882352942,68,amn,E0732656
GORGO13813,HUMAN37494,76,69,306.0,0.8429752066115702,0.927536231884058,69,amn,E0732656
GORGO13813,PANTR15919,76,76,363.0,0.9603174603174603,0.9473684210526315,76,amn,E0732656
GORGO13813,BOVIN19608,76,67,152.5,0.4289732770745429,0.625,64,amn,E0732656
GORGO13813,CANLF17626,76,69,261.0,0.723994452149792,0.8115942028985508,69,amn,E0732656
GORGO13813,MONDO16153,76,92,142.0,0.3425814234016888,0.5866666666666667,75,amn,E0732656
GORGO13813,CHICK13436,76,68,195.0,0.5454545454545454,0.6617647058823529,68,amn,E0732656
HUMAN37494,PANTR15919,69,76,295.5,0.8185595567867036,0.9420289855072463,69,amn,E0732656
HUMAN37494,BOVIN19608,69,67,175.0,0.51698670605613,0.671875,64,amn,E0732656
HUMAN37494,CANLF17626,69,69,301.0,0.87627365356623,0.8840579710144928,69,amn,E0732656
HUMAN37494,MONDO16153,69,92,144.5,0.3635220125786163,0.6376811594202898,69,amn,E0732656
HUMAN37494,CHICK13436,69,68,231.0,0.6784140969162996,0.7205882352941176,68,amn,E0732656
PANTR15919,BOVIN19608,76,67,141.5,0.4002828854314003,0.609375,64,amn,E0732656
PANTR15919,CANLF17626,76,69,250.5,0.698744769874477,0.8260869565217391,69,amn,E0732656
PANTR15919,MONDO16153,76,92,138.0,0.33454545454545453,0.5733333333333334,75,amn,E0732656
PANTR15919,CHICK13436,76,68,187.5,0.5274261603375527,0.6764705882352942,68,amn,E0732656
BOVIN19608,CANLF17626,67,69,183.0,0.5446428571428571,0.703125,64,amn,E0732656
BOVIN19608,MONDO16153,67,92,79.5,0.20384615384615384,0.49230769230769234,65,amn,E0732656
BOVIN19608,CHICK13436,67,68,140.5,0.4219219219219219,0.5714285714285714,63,amn,E0732656
CANLF17626,MONDO16153,69,92,144.5,0.3658227848101266,0.6521739130434783,69,amn,E0732656
CANLF17626,CHICK13436,69,68,237.0,0.7011834319526628,0.7647058823529411,68,amn,E0732656
MONDO16153,CHICK13436,92,68,127.0,0.3239795918367347,0.5882352941176471,68,amn,E0732656
MOUSE06048,RATNO08029,264,268,1153.5,0.8083391730903995,0.85,260,amn,E0739117
